A00,Cholera
S0591,Traumatic cerebral edema with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness
S0592,Traumatic cerebral edema with loss of consciousness of any duration with death due to other cause prior to regaining consciousness
S060X0,Traumatic cerebral edema with loss of consciousness of unspecified duration
S060X1,Diffuse traumatic brain injury without loss of consciousness
S060X9,Diffuse traumatic brain injury with loss of consciousness of 30 minutes or less
S061X0,Diffuse traumatic brain injury with loss of consciousness of 31 minutes to 59 minutes
S061X1,Diffuse traumatic brain injury with loss of consciousness of 1 hour to 5 hours 59 minutes
S061X2,Diffuse traumatic brain injury with loss of consciousness of 6 hours to 24 hours
S061X3,Diffuse traumatic brain injury with loss of consciousness greater than 24 hours with return to pre-existing conscious levels
S061X4,Diffuse traumatic brain injury with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving
S061X5,Diffuse traumatic brain injury with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness
S061X6,Diffuse traumatic brain injury with loss of consciousness of any duration with death due to other cause prior to regaining consciousness
S061X7,Diffuse traumatic brain injury with loss of consciousness of unspecified duration
S061X8,Unspecified focal traumatic brain injury without loss of consciousness
S061X9,Unspecified focal traumatic brain injury with loss of consciousness of 30 minutes or less
S062X0,Unspecified focal traumatic brain injury with loss of consciousness of 31 minutes to 59 minutes
S062X1,Unspecified focal traumatic brain injury with loss of consciousness of 1 hour to 5 hours 59 minutes
S062X2,Unspecified focal traumatic brain injury with loss of consciousness of 6 hours to 24 hours
S062X3,Unspecified focal traumatic brain injury with loss of consciousness greater than 24 hours with return to pre-existing conscious level
S062X4,Unspecified focal traumatic brain injury with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving
S062X5,Unspecified focal traumatic brain injury with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness
S062X6,Unspecified focal traumatic brain injury with loss of consciousness of any duration with death due to other cause prior to regaining consciousness
S062X7,Unspecified focal traumatic brain injury with loss of consciousness of unspecified duration
S062X8,Contusion and laceration of right cerebrum without loss of consciousness
S062X9,Contusion and laceration of right cerebrum with loss of consciousness of 30 minutes or less
S06300,Contusion and laceration of right cerebrum with loss of consciousness of 31 minutes to 59 minutes
S06301,Contusion and laceration of right cerebrum with loss of consciousness of 1 hour to 5 hours 59 minutes
S06302,Contusion and laceration of right cerebrum with loss of consciousness of 6 hours to 24 hours
S06303,Contusion and laceration of right cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level
S06304,Contusion and laceration of right cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving
S06305,Contusion and laceration of right cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness
S06306,Contusion and laceration of right cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness
S06307,Contusion and laceration of right cerebrum with loss of consciousness of unspecified duration
S06308,Contusion and laceration of left cerebrum without loss of consciousness
S06309,Contusion and laceration of left cerebrum with loss of consciousness of 30 minutes or less
S06310,Contusion and laceration of left cerebrum with loss of consciousness of 31 minutes to 59 minutes
S06311,Contusion and laceration of left cerebrum with loss of consciousness of 1 hour to 5 hours 59 minutes
S06312,Contusion and laceration of left cerebrum with loss of consciousness of 6 hours to 24 hours
S06313,Contusion and laceration of left cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level
S06314,Contusion and laceration of left cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving
S06315,Contusion and laceration of left cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness
S06316,Contusion and laceration of left cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness
S06317,Contusion and laceration of left cerebrum with loss of consciousness of unspecified duration
S06318,"Contusion and laceration of cerebrum, unspecified, without loss of consciousness"
S06319,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 30 minutes or less"
S06320,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 31 minutes to 59 minutes"
S06321,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 1 hour to 5 hours 59 minutes"
S06322,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours"
S06323,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours with return to pre-existing conscious level"
S06324,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving"
S06325,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness"
S06326,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of any duration with death due to other cause prior to regaining consciousness"
S06327,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of unspecified duration"
S06328,Traumatic hemorrhage of right cerebrum without loss of consciousness
S06329,Traumatic hemorrhage of right cerebrum with loss of consciousness of 30 minutes or less
S06330,Traumatic hemorrhage of right cerebrum with loss of consciousness of 31 minutes to 59 minutes
S06331,Traumatic hemorrhage of right cerebrum with loss of consciousness of 1 hours to 5 hours 59 minutes
S06332,Traumatic hemorrhage of right cerebrum with loss of consciousness of 6 hours to 24 hours
S06333,Traumatic hemorrhage of right cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level
S06334,Traumatic hemorrhage of right cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving
S06335,Traumatic hemorrhage of right cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness
S06336,Traumatic hemorrhage of right cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness
S06337,Traumatic hemorrhage of right cerebrum with loss of consciousness of unspecified duration
S06338,Traumatic hemorrhage of left cerebrum without loss of consciousness
S06339,Traumatic hemorrhage of left cerebrum with loss of consciousness of 30 minutes or less
S06340,Traumatic hemorrhage of left cerebrum with loss of consciousness of 31 minutes to 59 minutes
S06341,Traumatic hemorrhage of left cerebrum with loss of consciousness of 1 hours to 5 hours 59 minutes
S06342,Traumatic hemorrhage of left cerebrum with loss of consciousness of 6 hours to 24 hours
S06343,Traumatic hemorrhage of left cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level
S06344,Traumatic hemorrhage of left cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving
S06345,Traumatic hemorrhage of left cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness
S06346,Traumatic hemorrhage of left cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness
S06347,Traumatic hemorrhage of left cerebrum with loss of consciousness of unspecified duration
S06348,"Traumatic hemorrhage of cerebrum, unspecified, without loss of consciousness"
S06349,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 30 minutes or less"
S06350,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 31 minutes to 59 minutes"
S06351,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 1 hours to 5 hours 59 minutes"
S06352,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours"
S06353,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness greater than 24 hours with return to pre-existing conscious level"
S06354,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving"
S06355,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness"
S06356,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of any duration with death due to other cause prior to regaining consciousness"
S06357,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of unspecified duration"
S06358,"Contusion, laceration, and hemorrhage of cerebellum without loss of consciousness"
S06359,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 30 minutes or less"
S06360,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 31 minutes to 59 minutes"
S06361,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 1 hour to 5 hours 59 minutes"
S06362,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 6 hours to 24 hours"
S06363,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness greater than 24 hours with return to pre-existing conscious level"
S06364,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving"
S06365,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness"
